iter	Passed	Remaining
472	659	734
473	660	733
474	661	731
475	662	729
476	663	727
477	664	725
478	665	723
479	666	721
480	667	719
481	668	717
482	668	716
483	669	714
484	670	712
485	671	710
486	672	708
487	672	706
488	673	704
489	674	702
490	676	700
491	676	698
492	677	697
493	678	695
494	679	693
495	680	691
496	681	689
497	682	687
498	683	685
499	684	684
500	684	682
501	685	680
502	686	678
503	687	676
504	688	674
505	690	673
506	691	672
507	691	670
508	692	668
509	693	666
510	694	664
511	695	663
512	696	661
513	697	659
514	698	657
515	699	655
516	700	654
517	700	652
518	701	650
519	702	648
520	703	646
521	705	645
522	706	644
523	707	642
524	708	641
525	709	639
526	710	637
527	711	636
528	712	634
529	713	632
530	714	630
531	714	628
532	715	627
533	716	625
534	717	624
535	719	622
536	720	620
537	720	619
538	721	617
539	722	615
540	723	614
541	724	612
542	725	610
543	726	608
544	727	607
545	727	605
546	728	603
547	729	601
548	730	600
549	731	598
550	732	597
551	733	595
552	734	593
553	735	592
554	736	590
555	737	588
556	738	587
557	739	585
558	740	583
559	741	582
560	741	580
561	742	578
562	743	577
563	744	575
564	745	573
565	746	572
566	747	570
567	748	569
568	749	567
569	749	565
570	750	564
571	751	562
572	752	561
573	753	559
574	754	557
575	755	556
576	756	554
577	757	552
578	757	551
579	758	549
580	759	547
581	760	546
582	762	545
583	763	543
584	763	541
585	764	540
586	765	538
587	766	537
588	767	535
589	768	533
590	769	532
591	770	530
592	770	529
593	771	527
594	772	525
595	773	524
596	774	522
597	775	521
598	776	519
599	777	518
600	778	516
601	779	515
602	780	513
603	781	512
604	782	510
605	782	509
606	783	507
607	784	505
608	785	504
609	786	502
610	787	501
611	788	499
612	789	498
613	790	496
614	791	495
615	792	493
616	793	492
617	793	490
618	794	489
619	795	487
620	796	486
621	797	484
622	798	483
623	799	481
624	800	480
625	800	478
626	801	476
627	802	475
628	803	473
629	804	472
630	805	471
631	806	469
632	807	468
633	808	466
634	809	465
635	810	463
636	811	462
637	812	460
638	812	459
639	813	457
640	814	456
641	815	454
642	816	453
643	817	451
644	818	450
645	819	448
646	820	447
647	821	446
648	821	444
649	822	443
650	823	441
651	824	440
652	825	438
653	826	437
654	827	435
655	828	434
656	828	432
657	829	431
658	830	429
659	831	428
660	833	427
661	834	425
662	834	424
663	835	422
664	836	421
665	837	420
666	838	418
667	839	417
668	840	415
669	841	414
670	842	413
671	843	411
672	843	410
673	844	408
674	845	407
675	846	405
676	848	404
677	848	403
678	849	401
679	850	400
680	851	398
681	852	397
682	853	396
683	854	394
684	855	393
685	855	391
686	856	390
687	857	388
688	858	387
689	859	386
690	861	385
691	862	383
692	863	382
693	863	380
694	864	379
695	865	378
696	866	376
697	867	375
698	868	373
699	869	372
700	869	371
701	870	369
702	871	368
703	872	366
704	873	365
705	874	364
706	875	362
707	876	361
708	877	360
709	878	358
710	879	357
711	880	356
712	881	354
713	881	353
714	882	351
715	883	350
716	884	349
717	885	347
718	886	346
719	886	344
720	887	343
721	888	342
722	889	340
723	891	339
724	892	338
725	892	336
726	893	335
727	894	334
728	895	332
729	896	331
730	897	330
731	898	328
732	899	327
733	899	326
734	900	324
735	901	323
736	902	321
737	903	320
738	904	319
739	905	318
740	906	316
741	907	315
742	908	314
743	909	312
744	910	311
745	911	310
746	912	308
747	912	307
748	913	306
749	914	304
750	915	303
751	916	302
752	917	300
753	918	299
754	919	298
755	920	297
756	921	295
757	922	294
758	923	293
759	924	291
760	925	290
761	926	289
762	927	287
763	927	286
764	928	285
765	929	283
766	930	282
767	931	281
768	933	280
769	933	278
770	934	277
771	935	276
772	936	275
773	937	273
774	938	272
775	939	271
776	940	269
777	940	268
778	941	267
779	942	265
780	943	264
781	944	263
782	945	261
783	946	260
784	947	259
785	948	258
786	949	256
787	950	255
788	951	254
789	952	253
790	953	251
791	954	250
792	954	249
793	955	247
794	956	246
795	957	245
796	958	244
797	959	242
798	960	241
799	962	240
800	963	239
801	964	238
802	965	236
803	966	235
804	966	234
805	967	232
806	968	231
807	969	230
808	970	229
809	971	227
810	972	226
811	973	225
812	974	224
813	975	222
814	976	221
815	977	220
816	978	219
817	979	217
818	980	216
819	981	215
820	982	214
821	983	212
822	984	211
823	984	210
824	985	209
825	986	207
826	987	206
827	988	205
828	990	204
829	991	203
830	992	201
831	993	200
832	994	199
833	995	198
834	996	196
835	997	195
836	998	194
837	999	193
838	999	191
839	1000	190
840	1001	189
841	1002	188
842	1003	186
843	1005	185
844	1006	184
845	1007	183
846	1008	182
847	1008	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1015	172
855	1016	171
856	1017	169
857	1019	168
858	1020	167
859	1021	166
860	1022	164
861	1022	163
862	1023	162
